Timestamp	Filename	Error	Message
2018-06-12 12:36:44.221 -0400	TicTacToe.fmp12	0	Import of script steps from clipboard started
2018-06-12 12:36:44.223 -0400	Button Click 8	0	script steps imported : 1
2018-06-12 12:36:44.223 -0400	TicTacToe.fmp12	0	Import completed
2018-06-12 12:36:47.860 -0400	TicTacToe.fmp12	0	Import of script steps from clipboard started
2018-06-12 12:36:47.862 -0400	Button Click 8	0	script steps imported : 1
2018-06-12 12:36:47.862 -0400	TicTacToe.fmp12	0	Import completed
2018-06-12 12:36:49.566 -0400	TicTacToe.fmp12	0	Import of script steps from clipboard started
2018-06-12 12:36:49.567 -0400	Button Click 9	0	script steps imported : 1
2018-06-12 12:36:49.568 -0400	TicTacToe.fmp12	0	Import completed
2018-06-12 12:36:50.509 -0400	TicTacToe.fmp12	0	Import of script steps from clipboard started
2018-06-12 12:36:50.510 -0400	Button Click 9	0	script steps imported : 1
2018-06-12 12:36:50.511 -0400	TicTacToe.fmp12	0	Import completed
2018-06-12 12:38:47.289 -0400	TicTacToe.fmp12	0	Import of script steps from clipboard started
2018-06-12 12:38:47.295 -0400	Winner Check Top Row	3702	Unknown Error: <unknown>.
2018-06-12 12:38:47.298 -0400	Winner Check Top Row	0	script steps imported : 6
2018-06-12 12:38:47.298 -0400	TicTacToe.fmp12	0	Import completed
2018-06-13 16:04:46.542 -0400	TicTacToe.fmp12	0	Import of script steps from clipboard started
2018-06-13 16:04:46.549 -0400	New Game	0	script steps imported : 6
2018-06-13 16:04:46.549 -0400	TicTacToe.fmp12	0	Import completed
2018-06-13 16:21:33.816 -0400	TicTacToe.fmp12	0	Import of script steps from clipboard started
2018-06-13 16:21:33.847 -0400	Winner Check Top Row	0	script steps imported : 9
2018-06-13 16:21:33.848 -0400	TicTacToe.fmp12	0	Import completed
2018-06-13 16:26:48.546 -0400	TicTacToe.fmp12	0	Import of script steps from clipboard started
2018-06-13 16:26:48.550 -0400	Computer	0	script steps imported : 4
2018-06-13 16:26:48.550 -0400	TicTacToe.fmp12	0	Import completed
2018-06-13 16:29:29.844 -0400	TicTacToe.fmp12	0	Import of script steps from clipboard started
2018-06-13 16:29:29.847 -0400	Button Click	3703	Unknown Error: <unknown>.
2018-06-13 16:29:29.847 -0400	Button Click	0	script steps imported : 2
2018-06-13 16:29:29.848 -0400	TicTacToe.fmp12	0	Import completed
2018-06-13 16:29:40.851 -0400	TicTacToe.fmp12	0	Import of script steps from clipboard started
2018-06-13 16:29:41.047 -0400	Button Click	3703	Unknown Error: <unknown>.
2018-06-13 16:29:41.078 -0400	Button Click	0	script steps imported : 17
2018-06-13 16:29:41.079 -0400	TicTacToe.fmp12	0	Import completed
2018-06-13 16:29:46.076 -0400	TicTacToe.fmp12	0	Import of script steps from clipboard started
2018-06-13 16:29:46.077 -0400	Button Click	3703	Unknown Error: <unknown>.
2018-06-13 16:29:46.078 -0400	Button Click	0	script steps imported : 2
2018-06-13 16:29:46.079 -0400	TicTacToe.fmp12	0	Import completed
2018-06-13 16:47:02.222 -0400	TicTacToe.fmp12	0	Import of script steps from clipboard started
2018-06-13 16:47:02.236 -0400	Button Click	0	script steps imported : 17
2018-06-13 16:47:02.236 -0400	TicTacToe.fmp12	0	Import completed
